timestamp,nb
2024-04-04,1
2024-04-05,2
2024-04-06,809
2024-04-07,153
2024-04-08,2437
2024-04-09,184
2024-04-10,342
2024-04-11,179
2024-04-12,46
2024-04-13,125
2024-04-14,154
2024-04-15,53
2024-04-16,29
2024-04-17,219
2024-04-18,120
2024-04-19,80
2024-04-20,66
2024-04-21,40
2024-04-22,294
2024-04-23,272
2024-04-24,268
2024-04-25,456
2024-04-26,516
2024-04-27,326
2024-04-28,504
2024-04-29,1601
2024-04-30,1232
2024-05-01,634
2024-05-02,659
2024-05-03,824
2024-05-04,1005
2024-05-05,1760
2024-05-06,1767
2024-05-07,1800
2024-05-08,4654
2024-05-09,4440
2024-05-10,4654
2024-05-11,2907
2024-05-12,1156
2024-05-13,1067
2024-05-14,523
2024-05-15,352
2024-05-16,443
2024-05-17,568
2024-05-18,800
2024-05-19,834
2024-05-20,1289
2024-05-21,641
2024-05-22,988
2024-05-23,1318
2024-05-24,1208
2024-05-25,931
2024-05-26,721
2024-05-27,1820
2024-05-28,1389
2024-05-29,1529
2024-05-30,1745
2024-05-31,1858
2024-06-01,1803
2024-06-02,4004
2024-06-03,2866
2024-06-04,3727
2024-06-05,3679
2024-06-06,7450
2024-06-07,6768
2024-06-08,5208
2024-06-09,7746
2024-06-10,10272
2024-06-11,11873
2024-06-12,14025
2024-06-13,12019
2024-06-14,9753
2024-06-15,9148
2024-06-16,9629
2024-06-17,9634
2024-06-18,7084
2024-06-19,7598
2024-06-20,6517
2024-06-21,5158
2024-06-22,8041
2024-06-23,10504
2024-06-24,16116
2024-06-25,18093
2024-06-26,15027
2024-06-27,15287
2024-06-28,14828
2024-06-29,15474
2024-06-30,15147
2024-07-01,17919
2024-07-02,13468
2024-07-03,10183
2024-07-04,9885
2024-07-05,5321
2024-07-06,7653
2024-07-07,8845
2024-07-08,9870
2024-07-09,10195
2024-07-10,9098
2024-07-11,7495
2024-07-12,7134
2024-07-13,5432
2024-07-14,7498
2024-07-15,6824
2024-07-16,8493
2024-07-17,10083
2024-07-18,12371
2024-07-19,13736
2024-07-20,17278
2024-07-21,24392
2024-07-22,19458
2024-07-23,19361
2024-07-24,20687
2024-07-25,15312
2024-07-26,17548
2024-07-27,19714
2024-07-28,18388
2024-07-29,12702
2024-07-30,15409
2024-07-31,15045
2024-08-01,11234
2024-08-02,5947
2024-08-03,7699
2024-08-04,5422
2024-08-05,3410
2024-08-06,6709
2024-08-07,5883
2024-08-08,5634
2024-08-09,4471
2024-08-10,4344
2024-08-11,5000
2024-08-12,7957
2024-08-13,8095
2024-08-14,15492
2024-08-15,7181
2024-08-16,10699
2024-08-17,7743
2024-08-18,5382
2024-08-19,4683
2024-08-20,4715
2024-08-21,3725
2024-08-22,3813
2024-08-23,3998
2024-08-24,3972
2024-08-25,5589
2024-08-26,4592
2024-08-27,5057
2024-08-28,5494
2024-08-29,7001
2024-08-30,7932
2024-08-31,8083
2024-09-01,5119
2024-09-02,6308
2024-09-03,5305
2024-09-04,3470
2024-09-05,3971
2024-09-06,2381
2024-09-07,1435
2024-09-08,2499
2024-09-09,3292
2024-09-10,3254
2024-09-11,3387
2024-09-12,5095
2024-09-13,4320
2024-09-14,2327
2024-09-15,1873
2024-09-16,1517
2024-09-17,2317
2024-09-18,3025
2024-09-19,2761
2024-09-20,2346
2024-09-21,1906
2024-09-22,1924
2024-09-23,2072
2024-09-24,2603
2024-09-25,3652
2024-09-26,2083
